"FuMOD" "Fu"
"Gene07939" "Putative integrase for prophage CP-933R"
"Gene07940" "putative integrase protein"
"Gene07941" "putative intracellular PHB depolymerase"
"Gene07942" "putative iron uptake protein"
"Gene07943" "putative iron-regulated membrane protein"
"Gene07944" "Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2"
"Gene07945" "putative IS6 family transposase"
"Gene07946" "Putative isomerase"
"Gene07947" "Putative Isoquinoline 1-oxidoreductase subunit, Mll3835 protein"
"Gene07948" "putative ketoacyl-ACP synthase"
"Gene07949" "putative L-proline 4-hydroxylase"
"Gene07950" "Putative lipase"
"Gene07951" "putative lipase/esterase"
"Gene07952" "Putative lipase/esterase"
"Gene07953" "putative lipoprotein"
"Gene07954" "putative LuxA"
"Gene07955" "putative lyase"
"Gene07956" "putative LysR-family transcriptional regulator"
"Gene07957" "Putative mandelate racemase STM3833"
"Gene07958" "Putative mannosyltransferase involved in polysaccharide biosynthesis"
"Gene07959" "Putative membrane protease YugP"
"Gene07960" "putative membrane protein"
"Gene07961" "Putative membrane protein"
"Gene07962" "Putative membrane protein YeiH"
"Gene07963" "Putative membrane protein, clustering with ActP"
"Gene07964" "putative membrane protein, similar to periplasmic nitrate reductase NnuR"
"Gene07965" "putative membrane-anchored protein"
"Gene07966" "putative membrane-associated phospholipid phosphatase, PAP2 superfamily"
"Gene07967" "Putative membrane-bound ClpP-class protease associated with aq_911"
"Gene07968" "Putative membrane-spanning protein"
"Gene07969" "putative metal chaperone, involved in Fe-nitrile hydratase activation, GTPase of COG0523 family"
"Gene07970" "Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family"
"Gene07971" "Putative metal-dependent phosphohydrolase with tandem HD motifs"
"Gene07972" "putative metalloprotease"
"Gene07973" "Putative metalloprotease yggG (EC 3.4.24.-)"
"Gene07974" "putative Metapyrocatechase (MPC) (CatO2ase) (Catechol 2,3- dioxygenase)( EC:1.13.11.2 )"
"Gene07975" "putative methanol oxidation protein"
"Gene07976" "putative methyl accepting chemotaxis protein"
"Gene07977" "putative methyltransferase"
"Gene07978" "putative Mg(2+) transporter"
"Gene07979" "putative minor tail protein"
"Gene07980" "putative MipA family outer membrane scaffold protein"
"Gene07981" "putative mobilization protein MobS"
"Gene07982" "putative molybdenum containing oxidoreductase"
"Gene07983" "putative monooxygenase"
"Gene07984" "Putative monooxygenase"
"Gene07985" "Putative monooxygenase PA5393"
"Gene07986" "Putative monooxygenase STM1546"
"Gene07987" "putative monooxygenase."
"Gene07988" "putative MutT/nudix family protein"
"Gene07989" "putative MutT/nudix-family hydrolase"
"Gene07990" "putative MutT/NUDIX-family protein"
"Gene07991" "Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase"
"Gene07992" "Putative n-hydroxybenzoate hydroxylase"
"Gene07993" "Putative NAD(P)H nitroreductase YdjA"
"Gene07994" "Putative NADP-dependent oxidoreductase PA1648"
"Gene07995" "Putative NADP-dependent oxidoreductases"
"Gene07996" "putative NnrU protein"
"Gene07997" "putative nodulation protein X (probable sugar acetylase)"
"Gene07998" "putative nucleoside-diphosphate-sugar epimerase"
"Gene07999" "Putative O-antigen synthesis protein, WbyH"
"Gene08000" "putative O-methyl transferase"
"Gene08001" "putative Omp2b porin"
"Gene08002" "putative ORF-2"
"Gene08003" "putative ORF1 [Plasmid pTOM9]"
"Gene08004" "Putative outer membrane lipoprotein"
"Gene08005" "Putative outer membrane or secreted lipoprotein"
"Gene08006" "putative outer membrane protein"
"Gene08007" "Putative outer membrane protein"
"Gene08008" "putative outer membrane secretion protein"
"Gene08009" "putative outer-membrane immunogenic protein precursor"
"Gene08010" "putative outermembrane protein"
"Gene08011" "Putative oxalate/formate antiporter"
"Gene08012" "Putative oxidoreducatse SCO7286"
"Gene08013" "putative oxidoreductase"
"Gene08014" "Putative oxidoreductase"
"Gene08015" "Putative oxidoreductase / UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronic acid acetyltransferase (EC 2.3.1.201)"
"Gene08016" "putative oxidoreductase protein"
"Gene08017" "PUTATIVE OXIDOREDUCTASE PROTEIN"
"Gene08018" "Putative oxidoreductase SM_b20353"
"Gene08019" "Putative oxidoreductase SMc00968"
"Gene08020" "Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding"
"Gene08021" "Putative oxidoreductase YncB"
"Gene08022" "putative oxidoreductase, nitronate monooxygenase family"
"Gene08023" "putative oxidoreductase, oxygen dependent, FAD-dependent protein"
"Gene08024" "putative partition protein"
"Gene08025" "Putative PAS/PAC sensor protein"
"Gene08026" "putative pectin degradation protein"
"Gene08027" "Putative peptidase"
"Gene08028" "putative peptide synthetase"
"Gene08029" "putative periplasmic membrane protein"
"Gene08030" "putative periplasmic protein"
"Gene08031" "Putative periplasmic protein"
"Gene08032" "putative periplasmic protein kinase ArgK and related GTPases of G3E family"
"Gene08033" "Putative periplasmic protein YibQ, distant homology with nucleoside diphosphatase and polysaccharide deacetylase"
"Gene08034" "Putative periplasmic substrate-binding transport protein"
"Gene08035" "Putative permease"
"Gene08036" "Putative permease often clustered with de novo purine synthesis"
"Gene08037" "putative phage Major head protein"
"Gene08038" "putative phage repressor"
"Gene08039" "Putative phage-encoded peptidoglycan binding protein"
"Gene08040" "Putative phophoslipid binding protein"
"Gene08041" "Putative phosphatase"
"Gene08042" "Putative phosphatase YfbT"
"Gene08043" "Putative phosphatase YieH"
"Gene08044" "Putative phosphoesterase"
"Gene08045" "putative phosphoglycerate mutase family protein"
"Gene08046" "putative phosphohistidine phosphatase, SixA"
"Gene08047" "putative phosphohydrolases, Icc family"
"Gene08048" "putative phospholipase D family protein"
"Gene08049" "putative phospholipase protein"
"Gene08050" "Putative phosphoribosylaminoimidazole-succinocarboxamide synthase 2 (SAICAR synthetase 2)"
"Gene08051" "putative phosphotransferase"
"Gene08052" "Putative photosynthetic complex assembly protein"
"Gene08053" "putative plasmid stabilisation protein"
"Gene08054" "putative plasmid stabilization protein"
"Gene08055" "putative plasmid-related protein"
"Gene08056" "Putative polysaccharide deacetylase"
"Gene08057" "putative polysialic acid transport protein"
"Gene08058" "Putative porin"
"Gene08059" "Putative pre-16S rRNA nuclease YqgF"
"Gene08060" "Putative predicted metal-dependent hydrolase"
"Gene08061" "Putative preQ0 transporter YhhQ"
"Gene08062" "Putative protease"
"Gene08063" "putative protein PaaI, possibly involved in aromatic compounds catabolism"
"Gene08064" "putative protein Ymh"
"Gene08065" "Putative protein-S-isoprenylcysteine methyltransferase"
"Gene08066" "putative pyruvate oxidase protein"
"Gene08067" "putative quinone reductase"
"Gene08068" "putative RecF protein"
"Gene08069" "putative recombinase"
"Gene08070" "Putative recombinase (ACLAME 105)"
"Gene08071" "Putative reductase"
"Gene08072" "Putative reductase (alkanesulfonate metabolism)"
"Gene08073" "putative regulator"
"Gene08074" "putative regulatory prophage protein"
"Gene08075" "putative regulatory protein"
"Gene08076" "Putative regulatory protein"
"Gene08077" "Putative regulatory protein, P-II family"
"Gene08078" "putative resolvase"
"Gene08079" "Putative resolvase (site-specific recombinase)"
"Gene08080" "Putative response regulator"
"Gene08081" "putative restriction endonuclease"
"Gene08082" "Putative Rieske (2Fe-2S) family oxidoreductase, large subunit"
"Gene08083" "Putative ring-cleaving dioxygenase"
"Gene08084" "Putative ring-cleaving dioxygenase MhqA"
"Gene08085" "Putative RNA polymerase sigma factor"
"Gene08086" "putative ROK family transcriptional regulator"
"Gene08087" "Putative ROK-family transcriptional regulator"
"Gene08088" "putative rRNA methylase"
"Gene08089" "putative SAM-dependent methyltransferase"
"Gene08090" "Putative SAM-dependent methyltransferases"
"Gene08091" "putative ScnA-like protein"
"Gene08092" "putative secreted peptidase"
"Gene08093" "putative secreted protein"
"Gene08094" "putative sensor (PAS) domain for methyl-accepting chemotaxis sensory transducer"
"Gene08095" "putative sensor hybrid histidine kinase with multiple PAS/PAC and response regulator receiver domains"
"Gene08096" "Putative serine protease"
"Gene08097" "putative short chain dehydrogenase"
"Gene08098" "putative short chain oxidoreductase"
"Gene08099" "Putative short-chain dehydrogenase"
"Gene08100" "putative short-chain dehydrogenase/oxidoreductase"
"Gene08101" "putative sialidase"
"Gene08102" "putative siderophore biosynthesis protein"
"Gene08103" "putative sigma-54-dependent transcriptional regulator"
"Gene08104" "Putative SigmaB asociated two-component system sensor protein"
"Gene08105" "putative signal peptide"
"Gene08106" "Putative signal transducer"
"Gene08107" "Putative signal transduction histidine kinase"
"Gene08108" "putative signal transduction histidine kinase with GAF domain"
"Gene08109" "putative signal transduction histidine kinase with PAS/PAC domains"
"Gene08110" "putative sodium-coupled permease"
"Gene08111" "putative sodium-dependent bicarbonate transporter"
"Gene08112" "Putative sodium-dependent transporter"
"Gene08113" "putative sodium/hydrogen exchanger family"
"Gene08114" "putative stabilisation protein"
"Gene08115" "Putative stomatin/prohibitin-family membrane protease subunit aq_911"
"Gene08116" "Putative stomatin/prohibitin-family membrane protease subunit PA4582"
"Gene08117" "putative suagr ABC transporter permease protein"
"Gene08118" "Putative subunit of Alternative cytochrome c oxidase"
"Gene08119" "putative succinoglycan biosynthesis protein"
"Gene08120" "Putative sugar ABC transport system, permease protein YjfF"
"Gene08121" "putative sugar hydrolase"
"Gene08122" "Putative sugar kinase"
"Gene08123" "putative sulfite oxidase"
"Gene08124" "Putative symporter YjcG"
"Gene08125" "Putative tail fiber (ACLAME 4)"
"Gene08126" "Putative tail fiber protein"
"Gene08127" "Putative tail protein (ACLAME 1)"
"Gene08128" "putative tape-measure protein"
"Gene08129" "putative tautomerase protein"
"Gene08130" "putative tellurium resistance protein"
"Gene08131" "Putative TetR-family transcriptional regulator"
"Gene08132" "putative thioesterase"
"Gene08133" "putative thiol-disulfide isomerase"
"Gene08134" "putative thiol:disulfide interchange protein"
"Gene08135" "putative thiolase"
"Gene08136" "putative Thioredoxin (H-type,TRX-H)"
"Gene08137" "putative thioredoxin domain protein precursor"
"Gene08138" "Putative threonine efflux protein"
"Gene08139" "Putative Ton-B dependent hemine receptor @ Iron siderophore receptor protein"
"Gene08140" "putative TonB-dependent receptor"
"Gene08141" "PUTATIVE TRANSCRIPTION REGULATOR PROTEIN"
"Gene08142" "Putative transcriptional regulator of sorbose uptake and utilization genes"
"Gene08143" "putative transcriptional regulator protein"
"Gene08144" "putative transcriptional regulator, AbrB family"
"Gene08145" "putative transcriptional regulator, MucR family"
"Gene08146" "putative transcriptional regulators, CopG/Arc/MetJ DNA-binding domain"
"Gene08147" "putative transcriptional regulators, CopG/Arc/MetJ family"
"Gene08148" "Putative transcriptional regulatory protein"
"Gene08149" "putative transcriptional regulatory protein, GntR family"
"Gene08150" "Putative transferase"
"Gene08151" "Putative translation initiation inhibitor, yjgF family"
"Gene08152" "putative transmembrane anti-sigma factor"
"Gene08153" "Putative transmembrane efflux protein"
"Gene08154" "putative transmembrane nitrile hydratase"
"Gene08155" "Putative transmembrane oxidoreductase protein"
"Gene08156" "putative transmembrane protein"
"Gene08157" "Putative transmembrane protein"
"Gene08158" "putative transmembrane regulator"
"Gene08159" "Putative transmembrane transport protein"
"Gene08160" "Putative transport"
"Gene08161" "Putative transport protein"
"Gene08162" "putative transport related, membrane protein"
"Gene08163" "Putative transport system permease"
"Gene08164" "Putative transport system permease protein"
"Gene08165" "Putative transporter"
"Gene08166" "putative transposase"
"Gene08167" "Putative transposase (ACLAME 33)"
"Gene08168" "Putative transposase InsQ for insertion sequence element IS609"
"Gene08169" "Putative transposase IS (ACLAME 657)"
"Gene08170" "Putative transposase or IS (ACLAME 318)"
"Gene08171" "Putative transposase y4uI"
"Gene08172" "putative transposase, IS891/IS1136/IS1341 family"
"Gene08173" "putative transposition protein"
"Gene08174" "putative two-component response regulator"
"Gene08175" "putative Two-component system histidine kinase"
"Gene08176" "putative two-component system response regulator"
"Gene08177" "putative two-component system sensor histidine kinase, putative heat shock protein"
"Gene08178" "putative type II restriction endonuclease"
"Gene08179" "Putative type II restriction enzyme NmeDIP (EC 3.1.21.4) (Endonuclease NmeDIP) (R.NmeDIP)"
"Gene08180" "Putative Type II, 5-methyl-cytosine DNA methyltransferase (ACLAME 54)"
"Gene08181" "Putative type IIS restriction /modification enzyme, N-terminal half"
"Gene08182" "putative UDP-glucose 4-epimerase( EC:5.1.3.2 )"
"Gene08183" "Putative uncharacterized protein BCG_1969c"
"Gene08184" "Putative uncharacterized protein from bacteriophage origin"
"Gene08185" "Putative uncharacterized protein TTHA1760"
"Gene08186" "Putative uncharacterized protein ydbH"
"Gene08187" "Putative uroporphyrinogen-III synthase (EC 4.2.1.75), related to YjjA (in BS)"
"Gene08188" "putative virulence protein"
"Gene08189" "Putative von Willebrand factor, vWF type A domain protein STM2315"
"Gene08190" "putative VrrB protein"
"Gene08191" "Putative xylulose kinase (EC 2.7.1.17)"
"Gene08192" "putative ysozyme"
"Gene08193" "putative zinc metalloendopeptidase"
"Gene08194" "Putative zinc metalloprotease MJ0392 (EC 3.4.24.-)"
"Gene08195" "Putative Zn-dependent oxidoreductase PA5234"
"Gene08196" "Putative Zn-dependent protease"
"Gene08197" "Putative Zn-dependent protease PA5047"
"Gene08198" "PutR, transcriptional activator of PutA and PutP"
"Gene08199" "Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)"
"Gene08200" "Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)"
"Gene08201" "Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)"
"Gene08202" "Putrescine transport system permease protein PotH (TC 3.A.1.11.2)"
"Gene08203" "Putrescine transport system permease protein potI"
"Gene08204" "Putrescine transport system permease protein PotI (TC 3.A.1.11.2)"
"Gene08205" "Putrescine utilization regulator"
"Gene08206" "PvdE, pyoverdine ABC export system, fused ATPase and permease components"
"Gene08207" "PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)"
"Gene08208" "PvuII DNA methyltransferase"
"Gene08209" "PxORF73 peptide"
"Gene08210" "Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules"
"Gene08211" "Pyridoxal 5-phosphate (PLP)-dependent ornithine decarboxylase (EC 4.1.1.17)"
"Gene08212" "Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)"
"Gene08213" "Pyridoxal kinase (EC 2.7.1.35)"
"Gene08214" "Pyridoxal phosphate-containing protein YggS"
"Gene08215" "Pyridoxal phosphate-dependent aminotransferase"
"Gene08216" "pyridoxal phosphate-dependent deaminase, putative"
"Gene08217" "Pyridoxal-5'-phosphate phosphatase (EC 3.1.3.74), Alphaproteobacterial type"
"Gene08218" "Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)"
"Gene08219" "pyridoxal-phosphate dependent enzyme family protein"
"Gene08220" "Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)"
"Gene08221" "Pyridoxamine 5'-phosphate oxidase-related, FMN- binding"
"Gene08222" "Pyridoxamine 5'-phosphate oxidase-related, FMN-binding"
"Gene08223" "Pyridoxamine-phosphate oxidase"
"Gene08224" "Pyridoxine 4-dehydrogenase PhxI (EC 1.1.1.65)"
"Gene08225" "Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)"
"Gene08226" "Pyrimidine ABC transporter, ATP-binding protein"
"Gene08227" "Pyrimidine ABC transporter, substrate-binding component"
"Gene08228" "Pyrimidine ABC transporter, transmembrane component 1"
"Gene08229" "Pyrimidine ABC transporter, transmembrane component 2"
"Gene08230" "Pyrimidine monooxygenase RutA (EC 1.14.99.46)"
"Gene08231" "Pyrimidine permease"
"Gene08232" "Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)"
"Gene08233" "Pyrophosphate-energized proton pump (EC 3.6.1.1)"
"Gene08234" "Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)"
"Gene08235" "Pyrroline-5-carboxylate reductase (EC 1.5.1.2)"
"Gene08236" "Pyrroloquinoline-quinone synthase (EC 1.3.3.11)"
"Gene08237" "Pyrroloquinoline-quinone synthase (EC 1.3.3.11) / Coenzyme PQQ synthesis protein D"
"Gene08238" "Pyruvate carboxylase (EC 6.4.1.1)"
"Gene08239" "Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-)"
"Gene08240" "Pyruvate dehydrogenase (quinone) (EC 1.2.5.1)"
"Gene08241" "Pyruvate dehydrogenase E1 component (EC 1.2.4.1)"
"Gene08242" "Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)"
"Gene08243" "Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1) / Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)"
"Gene08244" "Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)"
"Gene08245" "Pyruvate dehydrogenase E1 component like"
"Gene08246" "Pyruvate formate-lyase (EC 2.3.1.54)"
"Gene08247" "Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)"
"Gene08248" "Pyruvate kinase (EC 2.7.1.40)"
"Gene08249" "Pyruvate kinase family protein"
"Gene08250" "Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)"
"Gene08251" "Pyruvate,phosphate dikinase (EC 2.7.9.1)"
"Gene08252" "Pyruvate:Oxaloacetate transcarboxylase domain protein"
"Gene08253" "Quaternary ammonium compound-resistance protein SugE"
"Gene08254" "Quercetin 2,3-dioxygenase (EC 1.13.11.24)"
"Gene08255" "Queuine tRNA-ribosyltransferase (EC 2.4.2.29)"
"Gene08256" "Queuosine Biosynthesis QueC ATPase"
"Gene08257" "Queuosine biosynthesis QueD, PTPS-I"
"Gene08258" "Queuosine Biosynthesis QueE Radical SAM"
"Gene08259" "Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)"
"Gene08260" "Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.5.8)"
"Gene08261" "Quino(hemo)protein alcohol dehydrogenase, PQQ-dependent (EC 1.1.2.8)"
"Gene08262" "Quinol oxidase-2, sulfocyanin (blue copper protein) (SoxE)"
"Gene08263" "Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)"
"Gene08264" "Quinolinate synthetase (EC 2.5.1.72)"
"Gene08265" "Quinone oxidoreductase"
"Gene08266" "Quinone oxidoreductase (EC 1.6.5.5)"
"Gene08267" "R body protein RebB homolog"
"Gene08268" "Radical SAM domain protein"
"Gene08269" "Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB"
"Gene08270" "Radical SAM protein required for addition of adenosine to hopane skeleton, HpnH"
"Gene08271" "radical SAM/B12 binding domain protein"
"Gene08272" "Rare lipoprotein A"
"Gene08273" "Rare lipoprotein A precursor"
"Gene08274" "RcnR-like protein clustered with cobalt-zinc-cadmium resistance protein CzcD"
"Gene08275" "RD1 region associated protein Rv3876"
"Gene08276" "RecA protein"
"Gene08277" "RecA-superfamily ATPases implicated in signal transduction"
"Gene08278" "RecD-like DNA helicase Atu2026"
"Gene08279" "RecD-like DNA helicase YrrC"
"Gene08280" "Recombinase"
"Gene08281" "Recombination protein RecR"
"Gene08282" "Recombinational DNA repair protein RecT (prophage associated)"
"Gene08283" "Red-type Rubisco activase CbbX, removes Rubisco byproduct XuBP"
"Gene08284" "redox proteins related to the succinate dehydrogenases and fumarate reductases"
"Gene08285" "Redox-sensing transcriptional regulator QorR"
"Gene08286" "Redox-sensing transcriptional regulator QorR, putative"
"Gene08287" "Redox-sensitive transcriptional activator SoxR"
"Gene08288" "Redoxin domain protein"
"Gene08289" "Reductase"
"Gene08290" "Regulator"
"Gene08291" "Regulator of carotenoid biosynthesis; Transcriptional regulator, PpsR"
"Gene08292" "Regulator of competence-specific genes"
"Gene08293" "Regulator of nucleoside diphosphate kinase"
"Gene08294" "regulatory protein CII"
"Gene08295" "Regulatory protein for C-P lyase"
"Gene08296" "regulatory protein GntR, HTH:GntR, C-terminal"
"Gene08297" "Regulatory protein LuxR"
"Gene08298" "Regulatory protein recX"
"Gene08299" "Regulatory protein RecX"
"Gene08300" "Regulatory protein SoxS"
"Gene08301" "Regulatory protein virG"
"Gene08302" "regulatory protein, GntR:Bacterial regulatory protein, GntR"
"Gene08303" "regulatory protein, LuxR"
"Gene08304" "regulatory protein, putative"
"Gene08305" "regulatory protein, TetR"
"Gene08306" "Related to Dihydropteroate synthase"
"Gene08307" "Related to F420H2-dehydrogenase, beta subunit"
"Gene08308" "Relaxase /helicase"
"Gene08309" "Relaxase/mobilization nuclease domain"
"Gene08310" "RelB/StbD replicon stabilization protein (antitoxin to RelE/StbE)"
"Gene08311" "RelE-like translational repressor toxin"
"Gene08312" "RelE/StbE replicon stabilization toxin"
"Gene08313" "Ren protein"
"Gene08314" "Renalase (EC 1.6.3.5), oxidases 1,2-dihydro- and 1,6-dihydro- beta-NAD(P)H isomers back to NAD(P)"
"Gene08315" "Rep"
"Gene08316" "RepA"
"Gene08317" "Repair of Iron Centers di-iron protein"
"Gene08318" "repeat region"
"Gene08319" "Replication initiation ATPase"
"Gene08320" "replication protein"
"Gene08321" "Replication protein"
"Gene08322" "Replication protein A"
"Gene08323" "Replication-associated recombination protein RarA"
"Gene08324" "Replicative DNA helicase (DnaB) (EC 3.6.4.12)"
"Gene08325" "Replicative DNA helicase (EC 3.6.1.-)"
"Gene08326" "Repressor CsoR of the copZA operon"
"Gene08327" "Repressor homolog"
"Gene08328" "resolvase"
"Gene08329" "Resolvase"
"Gene08330" "resolvase domain protein"
"Gene08331" "Resolvase domain protein"
"Gene08332" "resolvase domain-containing protein"
"Gene08333" "Resolvase-like"
"Gene08334" "Resolvase-like protein"
"Gene08335" "Resolvase, N-terminal"
"Gene08336" "Resolvase, N-terminal domain"
"Gene08337" "Resolvase/integrase"
"Gene08338" "Resolvase/integrase Bin"
"Gene08339" "Resolvase/Integrase TinR protein"
"Gene08340" "Respiratory nitrate reductase alpha chain (EC 1.7.99.4)"
"Gene08341" "Respiratory nitrate reductase beta chain (EC 1.7.99.4)"
"Gene08342" "Respiratory nitrate reductase delta chain (EC 1.7.99.4)"
"Gene08343" "Respiratory nitrate reductase gamma chain (EC 1.7.99.4)"
"Gene08344" "response regulator"
"Gene08345" "Response regulator"
"Gene08346" "Response regulator BaeR"
"Gene08347" "Response regulator c-di-GMP phosphodiesterase, RpfG family"
"Gene08348" "Response regulator containing a CheY-like receiver domain and an HD-GYP domain"
"Gene08349" "Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains"
"Gene08350" "response regulator in two-component regulatory system with PhoQ"
"Gene08351" "Response regulator NasT"
"Gene08352" "Response regulator of zinc sigma-54-dependent two-component system"
"Gene08353" "response regulator receiver"
"Gene08354" "Response regulator receiver"
"Gene08355" "response regulator receiver (CheY-like protein)"
"Gene08356" "response regulator receiver (CheY-like) modulated metal dependent phosphohydrolase"
"Gene08357" "response regulator receiver domain protein"
"Gene08358" "Response regulator receiver domain protein"
"Gene08359" "response regulator receiver domain protein (CheY-like)"
"Gene08360" "Response regulator receiver domain, FixJ type"
"Gene08361" "response regulator receiver modulated metal dependent phosphohydrolase"
"Gene08362" "response regulator receiver protein"
"Gene08363" "Response regulator receiver protein"
"Gene08364" "response regulator, putative"
"Gene08365" "Response regulator/sensor histidine kinase"
"Gene08366" "Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"Gene08367" "Response regulatory protein"
"Gene08368" "Restriction endonuclease"
"Gene08369" "Retinol dehydrogenase 12 (EC 1.1.1.-)"
"Gene08370" "Retinol dehydrogenase 13"
"Gene08371" "Retinol dehydrogenase 13 (EC 1.1.1.-)"
"Gene08372" "Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)"
"Gene08373" "Retrovirus-related POL polyprotein"
"Gene08374" "RfbJ protein"
"Gene08375" "Rhamnogalacturonides degradation protein RhiN"
"Gene08376" "Rhamnulokinase RhaK in alpha-proteobacteria (EC 2.7.1.5)"
"Gene08377" "RHH DNA-binding protein VirC2, promotes T-DNA transfer"
"Gene08378" "RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)"
"Gene08379" "Rhodanese domain protein"
"Gene08380" "Rhodanese domain protein UPF0176"
"Gene08381" "Rhodanese domain protein UPF0176, cyanobacterial/alphaproteobacterial subgroup"
"Gene08382" "Rhodanese-domain-containing inner membrane protein YgaP"
"Gene08383" "Rhodanese-like"
"Gene08384" "rhodanese-like domain protein"
"Gene08385" "Rhodanese-like domain protein"
"Gene08386" "Rhodanese-related sulfurtransferase"
"Gene08387" "Rhodanese-related sulfurtransferase, 4 domains"
"Gene08388" "Rhodanese-related sulfurtransferases"
"Gene08389" "Rhomboid family protein"
"Gene08390" "RhrA transcriptional activator"
"Gene08391" "Rhs family protein"
"Gene08392" "Rhs-family protein"
"Gene08393" "Ribitol 2-dehydrogenase (EC 1.1.1.56)"
"Gene08394" "Ribitol operon repressor"
"Gene08395" "Riboflavin synthase eubacterial/eukaryotic"
"Gene08396" "Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)"
"Gene08397" "Ribokinase (EC 2.7.1.15)"
"Gene08398" "Ribonuclease BN"
"Gene08399" "Ribonuclease BN (EC 3.1.-.-)"
"Gene08400" "Ribonuclease D (EC 3.1.26.3)"
"Gene08401" "Ribonuclease D related protein"
"Gene08402" "Ribonuclease E (EC 3.1.26.12)"
"Gene08403" "Ribonuclease E inhibitor RraA"
"Gene08404" "Ribonuclease HI (EC 3.1.26.4)"
"Gene08405" "Ribonuclease HI (EC 3.1.26.4) / Domain of unknown function DUF4440"
"Gene08406" "Ribonuclease HII (EC 3.1.26.4)"
"Gene08407" "Ribonuclease I precursor (EC 3.1.27.6)"
"Gene08408" "Ribonuclease III (EC 3.1.26.3)"
"Gene08409" "Ribonuclease J (endonuclease and 5' exonuclease)"
"Gene08410" "Ribonuclease M5 (EC 3.1.26.8)"
"Gene08411" "Ribonuclease P protein component (EC 3.1.26.5)"
"Gene08412" "Ribonuclease PH (EC 2.7.7.56)"
"Gene08413" "Ribonuclease T2 family protein"
"Gene08414" "Ribonuclease Y"
"Gene08415" "Ribonuclease Z (EC 3.1.26.11)"
"Gene08416" "Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)"
"Gene08417" "Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)"
"Gene08418" "Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)"
"Gene08419" "Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1) @ intein-containing"
"Gene08420" "Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)"
"Gene08421" "Ribonucleotide reductase transcriptional regulator NrdR"
"Gene08422" "Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23)"
"Gene08423" "Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)"
"Gene08424" "Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
"Gene08425" "Ribose ABC transporter, ATP-binding protein RbsA (TC 3.A.1.2.1)"
"Gene08426" "Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)"
"Gene08427" "ribose ABC transporter, substrate-binding protein"
"Gene08428" "Ribose operon repressor"
"Gene08429" "Ribose-5-phosphate isomerase A (EC 5.3.1.6)"
"Gene08430" "Ribose-5-phosphate isomerase B (EC 5.3.1.6)"
"Gene08431" "Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)"
"Gene08432" "Ribose-phosphate pyrophosphokinase, possible alternative form 3"
"Gene08433" "Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease component 1"
